"DL_CH","SITE_name","CellName","LAT_SITE","LON_SITE","AZ","BW","RD","RD_Normal","separar","MME","MME_ID","lnBtsId","Cell_Id","TE","TM","ALT","PCI","TAC","RAC","rootSeqIndex","AdminCellState","E-UTRAN Avg PRB usage per TTI DL","E-UTRAN avg IP sched thp DL, QCI9","Average CQI","Avg UE distance","Distrito","REFARMING","actUlGrpHop"
2050,"TIZIANO","TIZIANO3",-12.0899,-77.0028,200,50,,0.0700,"|","MME_POOL","0",1238,2383,6,0,25,444,2522,1,"380","1",,,,,"SAN BORJA",,0
2050,"TIZON_Y_BUENO","TIZON_Y_BUENO1",-12.0771,-77.0512,10,50,,0.0700,"|","MME_POOL","0",13802,9881,6,0,23,403,2530,1,"657","1",,,,,"JESUS MARIA",,0
2050,"TIZON_Y_BUENO","TIZON_Y_BUENO2",-12.0771,-77.0512,110,50,,0.0700,"|","MME_POOL","0",13802,9882,6,0,23,402,2530,1,"621","1",,,,,"JESUS MARIA",,0
2050,"TIZON_Y_BUENO","TIZON_Y_BUENO3",-12.0771,-77.0512,230,50,,0.0700,"|","MME_POOL","0",13802,9883,6,0,23,404,2530,1,"633","1",,,,,"JESUS MARIA",,0
2050,"TOMAS_FAUCETT","TOMAS_FAUCETT1",-12.0212,-77.1037,40,50,,0.0700,"|","MME_POOL","0",22724,3381,4,0,20,141,2110,1,"381","1",,,,,"CALLAO",,0
2050,"TOMAS_FAUCETT","TOMAS_FAUCETT2",-12.0212,-77.1037,140,50,,0.0700,"|","MME_POOL","0",22724,3382,4,0,20,143,2110,1,"340","1",,,,,"CALLAO",,0
2050,"TOMAS_FAUCETT","TOMAS_FAUCETT3",-12.0212,-77.1037,230,50,,0.0700,"|","MME_POOL","0",22724,3383,5,0,20,142,2110,1,"500","1",,,,,"CALLAO",,0
2050,"TOMASAL_LAS_COLINAS","TOMASAL_LAS_COLINAS1",-12.1136,-76.9689,350,50,,0.0700,"|","MME_POOL","0",20936,6623,5,0,24,118,2511,1,"159","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TOMASAL_LAS_COLINAS","TOMASAL_LAS_COLINAS2",-12.1136,-76.9689,100,50,,0.0700,"|","MME_POOL","0",20936,6831,3,0,24,119,2511,1,"68","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TOMASAL_LAS_COLINAS","TOMASAL_LAS_COLINAS3",-12.1136,-76.9689,200,50,,0.0700,"|","MME_POOL","0",20936,6832,5,0,24,117,2511,1,"107","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TORIBIO_PACHECO","TORIBIO_PACHECO1",-12.1151,-77.0459,310,50,,0.0700,"|","MME_POOL","0",62408,9051,6,3,26,186,2520,1,"735","1",,,,,"MIRAFLORES",,0
2050,"TORIBIO_PACHECO","TORIBIO_PACHECO2",-12.1151,-77.0459,100,50,,0.0700,"|","MME_POOL","0",62408,9052,6,3,26,188,2520,1,"585","1",,,,,"MIRAFLORES",,0
2050,"TORIBIO_PACHECO","TORIBIO_PACHECO3",-12.1151,-77.0459,210,50,,0.0700,"|","MME_POOL","0",62408,9053,6,5,26,187,2520,1,"715","1",,,,,"MIRAFLORES",,0
2050,"TORRES_BEGONIAS_1","TORRES_BEGONIAS_11",-12.0928,-77.0240,0,50,,0.0700,"|","MME_POOL","0",7415,13661,0,0,6,218,2521,1,"807","3",,,,,"SAN ISIDRO",,0
2050,"TORRES_BEGONIAS_1","TORRES_BEGONIAS_12",-12.0928,-77.0240,0,50,,0.0700,"|","MME_POOL","0",7415,13662,0,0,6,217,2521,1,"777","3",,,,,"SAN ISIDRO",,0
2050,"TORRES_BEGONIAS_1","TORRES_BEGONIAS_13",-12.0928,-77.0240,0,50,,0.0700,"|","MME_POOL","0",7415,13663,0,0,6,216,2521,1,"657","3",,,,,"SAN ISIDRO",,0
2050,"TORRES_BEGONIAS_2","TORRES_BEGONIAS_21",-12.0928,-77.0240,0,50,,0.0700,"|","MME_POOL","0",7416,13671,0,0,6,448,2521,1,"291","3",,,,,"SAN ISIDRO",,0
2050,"TORRES_BEGONIAS_2","TORRES_BEGONIAS_22",-12.0928,-77.0240,0,50,,0.0700,"|","MME_POOL","0",7416,13672,0,0,6,449,2521,1,"177","3",,,,,"SAN ISIDRO",,0
2050,"TORRES_PAZ","TORRES_PAZ1",-12.0776,-77.0294,300,50,,0.0700,"|","MME_POOL","0",300,12011,6,0,23,168,2530,1,"165","1",,,,,"LIMA",,0
2050,"TORRES_PAZ","TORRES_PAZ2",-12.0776,-77.0294,60,50,,0.0700,"|","MME_POOL","0",300,12012,6,0,23,169,2530,1,"69","1",,,,,"LIMA",,0
2050,"TORRES_PAZ","TORRES_PAZ3",-12.0776,-77.0294,210,50,,0.0700,"|","MME_POOL","0",300,12013,6,0,23,170,2530,1,"153","1",,,,,"LIMA",,0
2050,"TORRES_REANO","TORRES_REANO1",-12.0854,-77.0943,300,50,,0.0700,"|","MME_POOL","0",29921,20821,5,0,15,380,2531,1,"386","1",,,,,"SAN MIGUEL",,0
2050,"TORRES_REANO","TORRES_REANO2",-12.0854,-77.0943,20,50,,0.0700,"|","MME_POOL","0",29921,20822,5,0,15,379,2531,1,"198","1",,,,,"SAN MIGUEL",,0
2050,"TORRES_REANO","TORRES_REANO3",-12.0854,-77.0943,100,50,,0.0700,"|","MME_POOL","0",29921,20823,5,0,15,378,2531,1,"172","1",,,,,"SAN MIGUEL",,0
2050,"TORRICO","TORRICO2",-12.0470,-77.0374,110,50,,0.0700,"|","MME_POOL","0",4581,5812,8,7,52,364,2306,1,"270","1",,,,,"LIMA",,0
2050,"TORRICO","TORRICO3",-12.0470,-77.0374,200,50,,0.0700,"|","MME_POOL","0",4581,5813,8,7,52,365,2306,1,"280","1",,,,,"LIMA",,0
2050,"TORTUGAS_COLLIQUE","TORTUGAS_COLLIQUE1",-11.9144,-77.0291,260,50,,0.0700,"|","MME_POOL","0",61783,6511,9,1,23,474,2040,1,"375","1",,,,,"COMAS",,0
2050,"TORTUGAS_COLLIQUE","TORTUGAS_COLLIQUE2",-11.9144,-77.0291,75,50,,0.0700,"|","MME_POOL","0",61783,6512,5,0,23,476,2040,1,"281","1",,,,,"COMAS",,0
2050,"TORTUGAS_COLLIQUE","TORTUGAS_COLLIQUE3",-11.9144,-77.0291,170,50,,0.0700,"|","MME_POOL","0",61783,6513,5,0,23,475,2040,1,"528","1",,,,,"COMAS",,0
2050,"TOTORITAS","TOTORITAS1",-12.6806,-76.6549,330,50,,0.0700,"|","MME_POOL","0",1354,3541,7,0,9,233,2100,1,"247","1",,,,,"MALA",,0
2050,"TOTORITAS","TOTORITAS2",-12.6806,-76.6549,176,50,,0.0700,"|","MME_POOL","0",1354,3542,7,0,9,232,2100,1,"269","1",,,,,"MALA",,0
2050,"TOTORITAS","TOTORITAS3",-12.6806,-76.6549,200,50,,0.0700,"|","MME_POOL","0",1354,3543,7,0,9,231,2100,1,"237","1",,,,,"MALA",,0
2050,"TOTTUS_ATOCONGO","TOTTUS_ATOCONGO1",-12.1457,-76.9824,330,50,,0.0700,"|","MME_POOL","0",21786,37861,6,0,17,182,2331,1,"396","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TOTTUS_ATOCONGO","TOTTUS_ATOCONGO2",-12.1457,-76.9824,100,50,,0.0700,"|","MME_POOL","0",21786,37862,6,0,17,180,2331,1,"402","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TOTTUS_ATOCONGO","TOTTUS_ATOCONGO3",-12.1457,-76.9824,230,50,,0.0700,"|","MME_POOL","0",21786,37863,6,0,17,181,2331,1,"408","1",,,,,"SANTIAGO DE SURCO",,0
2050,"TOTTUS_QUILCA","TOTTUS_7001",-12.0275,-77.0936,50,50,,0.0700,"|","MME_POOL","0",1308,3081,4,0,18,226,2110,1,"230","1",,,,,"CALLAO",,0
2050,"TOTTUS_QUILCA","TOTTUS_7002",-12.0275,-77.0936,180,50,,0.0700,"|","MME_POOL","0",1308,3082,4,0,18,227,2110,1,"750","1",,,,,"CALLAO",,0
2050,"TOTTUS_QUILCA","TOTTUS_7003",-12.0275,-77.0936,310,50,,0.0700,"|","MME_POOL","0",1308,3083,4,0,18,225,2110,1,"140","1",,,,,"CALLAO",,0
2050,"TOURING_LINCE","TOURING_LINCE1",-12.0891,-77.0380,280,50,,0.0700,"|","MME_POOL","0",63786,6861,10,0,23,192,2521,1,"132","1",,,,,"LINCE",,0
2050,"TOURING_LINCE","TOURING_LINCE2",-12.0891,-77.0380,5,50,,0.0700,"|","MME_POOL","0",63786,6862,10,0,23,193,2521,1,"133","1",,,,,"LINCE",,0
2050,"TOURING_LINCE","TOURING_LINCE3",-12.0891,-77.0380,100,50,,0.0700,"|","MME_POOL","0",63786,6863,10,0,23,194,2521,1,"135","1",,,,,"LINCE",,0
2050,"TREBOL_NEW_1","TREBOL_NEW_11",-12.0863,-76.9860,340,50,,0.0700,"|","MME_POOL","0",1924,9241,9,0,36,357,2511,1,"440","1",,,,,"SAN BORJA",,0
