"BAND","name","LAT_SITE","LON_SITE","AZ","BW","RD","CELL-ID","BSCId","BSC_NAME","BCFId","BTSId","TRXId","initialFrequency","preferredBcchMark","status","hoppingSequenceNumber1","bsIdentityCodeBCC","bsIdentityCodeNCC","BTS_State","TRX_STATE","LAC","rac","REFARMING"
1900,"GUIZADO 6",-12.0645,-77.0138,200,70,0.1100,10843,363922,"BSC02NLV",1,6,,612,1,"no creado",,,,,,1124,124,
1900,"GUTENBERG 4",-12.0642,-76.9739,0,70,0.1100,15521,363922,"BSC02NLV",673,673,,670,1,"no creado",,,,,,1125,125,
1900,"GUTENBERG 5",-12.0642,-76.9739,150,70,0.1100,15522,363922,"BSC02NLV",673,674,,612,1,"no creado",,,,,,1125,125,
1900,"GUTENBERG 6",-12.0642,-76.9739,250,70,0.1100,15523,363922,"BSC02NLV",673,675,,672,1,"no creado",,,,,,1125,125,
1900,"GUZMAN 4",-12.1663,-76.9663,0,70,0.1100,62960,363921,"BSC01NLV",915,918,,669,1,"no creado",,,,,,1122,122,
1900,"GUZMAN 5",-12.1663,-76.9663,110,70,0.1100,62962,363921,"BSC01NLV",915,919,,671,1,"no creado",,,,,,1122,122,
1900,"GUZMAN 6",-12.1663,-76.9663,210,70,0.1100,62963,363921,"BSC01NLV",915,920,,615,1,"no creado",,,,,,1122,122,
1900,"HABICH_NEXTEL 4",-12.0258,-77.0542,270,70,0.1100,13771,397196,"BSC03NMA",706,706,,673,1,"no creado",,,,,,1137,89,
1900,"HABICH_NEXTEL 5",-12.0258,-77.0542,60,70,0.1100,13772,397196,"BSC03NMA",706,707,,615,1,"no creado",,,,,,1137,89,
1900,"HABICH_NEXTEL 6",-12.0258,-77.0542,155,70,0.1100,13773,397196,"BSC03NMA",706,708,,671,1,"no creado",,,,,,1137,89,
1900,"HBTS_AV_CHORRILLOS 4",-12.1620,-77.0238,0,70,0.1100,17218,363921,"BSC01NLV",1302,1302,,670,1,"no creado",,,,,,1121,121,
1900,"HBTS_AV_CHORRILLOS 5",-12.1620,-77.0238,0,70,0.1100,17219,363921,"BSC01NLV",1302,1303,,673,1,"no creado",,,,,,1121,121,
1900,"HBTS_AV_CHORRILLOS 6",-12.1620,-77.0238,0,70,0.1100,17220,363921,"BSC01NLV",1302,1304,,671,1,"no creado",,,,,,1121,121,
1900,"HBTS_BAJADA_BALTA 4",-12.1264,-77.0383,315,70,0.1100,2741,249333,"BSC01NMA",868,868,1,672,1,"creado",11,0,1,3,1,1120,92,
1900,"HBTS_BAJADA_BALTA 5",-12.1264,-77.0383,135,70,0.1100,2742,249333,"BSC01NMA",868,869,5,613,1,"creado",31,5,0,3,1,1120,92,
